"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0140030"	"modification-dependent protein binding"	200	29	17.23	"0.00382"
"GO:0016301"	"kinase activity"	1059	116	91.24	"0.00383"
"GO:0003724"	"RNA helicase activity"	131	21	11.29	"0.00400"
"GO:0046915"	"transition metal ion transmembrane trans..."	98	17	8.44	"0.00404"
"GO:0000217"	"DNA secondary structure binding"	90	16	7.75	"0.00405"
"GO:0003714"	"transcription corepressor activity"	219	31	18.87	"0.00412"
"GO:0000987"	"cis-regulatory region sequence-specific ..."	494	60	42.56	"0.00416"
"GO:0031490"	"chromatin DNA binding"	140	22	12.06	"0.00419"
"GO:0050681"	"nuclear androgen receptor binding"	83	15	7.15	"0.00452"
"GO:0005524"	"ATP binding"	688	79	59.28	"0.00502"
"GO:0140297"	"DNA-binding transcription factor binding"	374	47	32.22	"0.00559"
"GO:0017111"	"ribonucleoside triphosphate phosphatase ..."	1279	135	110.19	"0.00690"
"GO:0008186"	"ATP-dependent activity, acting on RNA"	148	22	12.75	"0.00813"
"GO:0001217"	"DNA-binding transcription repressor acti..."	206	28	17.75	"0.01061"
"GO:0001227"	"DNA-binding transcription repressor acti..."	206	28	17.75	"0.01061"
"GO:0000978"	"RNA polymerase II cis-regulatory region ..."	467	55	40.23	"0.01076"
"GO:0005515"	"protein binding"	9288	841	800.22	"0.01233"
"GO:0016462"	"pyrophosphatase activity"	1359	140	117.09	"0.01330"
"GO:0016817"	"hydrolase activity, acting on acid anhyd..."	1359	140	117.09	"0.01330"
"GO:0016818"	"hydrolase activity, acting on acid anhyd..."	1359	140	117.09	"0.01330"
"GO:0140096"	"catalytic activity, acting on a protein"	3200	308	275.7	"0.01365"
"GO:0003678"	"DNA helicase activity"	111	17	9.56	"0.01401"
"GO:0003684"	"damaged DNA binding"	156	22	13.44	"0.01466"
"GO:0017025"	"TBP-class protein binding"	62	11	5.34	"0.01591"
"GO:0030332"	"cyclin binding"	62	11	5.34	"0.01591"
"GO:0008173"	"RNA methyltransferase activity"	97	15	8.36	"0.01861"
"GO:0008094"	"ATP-dependent activity, acting on DNA"	169	23	14.56	"0.01895"
"GO:0016922"	"nuclear receptor binding"	245	31	21.11	"0.01959"
"GO:0070717"	"poly-purine tract binding"	64	11	5.51	"0.01990"
"GO:0140296"	"general transcription initiation factor ..."	107	16	9.22	"0.02072"
"GO:0043021"	"ribonucleoprotein complex binding"	251	31	21.63	"0.02650"
"GO:0016811"	"hydrolase activity, acting on carbon-nit..."	147	20	12.66	"0.02736"
"GO:1901505"	"carbohydrate derivative transmembrane tr..."	93	14	8.01	"0.02774"
"GO:0140098"	"catalytic activity, acting on RNA"	628	68	54.11	"0.02896"
"GO:0008157"	"protein phosphatase 1 binding"	68	11	5.86	"0.03001"
"GO:0019899"	"enzyme binding"	3595	338	309.73	"0.03201"
"GO:0008017"	"microtubule binding"	346	40	29.81	"0.03431"
"GO:0035639"	"purine ribonucleoside triphosphate bindi..."	932	96	80.3	"0.03630"
"GO:0051427"	"hormone receptor binding"	279	33	24.04	"0.03879"
"GO:0042162"	"telomeric DNA binding"	71	11	6.12	"0.03970"
"GO:0051536"	"iron-sulfur cluster binding"	71	11	6.12	"0.03970"
"GO:0051540"	"metal cluster binding"	71	11	6.12	"0.03970"
"GO:0003713"	"transcription coactivator activity"	433	48	37.31	"0.04208"
"GO:0016740"	"transferase activity"	3318	311	285.87	"0.04520"
"GO:0061629"	"RNA polymerase II-specific DNA-binding t..."	333	38	28.69	"0.04524"
