"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0016042"	"lipid catabolic process"	661	94	55.68	"3.0e-07"
"GO:0007204"	"positive regulation of cytosolic calcium..."	321	55	27.04	"3.0e-07"
"GO:0030193"	"regulation of blood coagulation"	85	23	7.16	"3.4e-07"
"GO:1900046"	"regulation of hemostasis"	85	23	7.16	"3.4e-07"
"GO:0003009"	"skeletal muscle contraction"	67	20	5.64	"3.5e-07"
"GO:0006816"	"calcium ion transport"	549	81	46.25	"4.5e-07"
"GO:0015844"	"monoamine transport"	133	30	11.2	"4.8e-07"
"GO:0018958"	"phenol-containing compound metabolic pro..."	278	49	23.42	"5.6e-07"
"GO:0060078"	"regulation of postsynaptic membrane pote..."	200	39	16.85	"5.9e-07"
"GO:0006939"	"smooth muscle contraction"	185	37	15.58	"6.0e-07"
"GO:0006720"	"isoprenoid metabolic process"	287	50	24.18	"6.2e-07"
"GO:0061041"	"regulation of wound healing"	178	36	14.99	"6.4e-07"
"GO:0042401"	"biogenic amine biosynthetic process"	108	26	9.1	"7.3e-07"
"GO:1903034"	"regulation of response to wounding"	330	55	27.8	"7.5e-07"
"GO:0051764"	"actin crosslink formation"	23	11	1.94	"7.6e-07"
"GO:0071324"	"cellular response to disaccharide stimul..."	32	13	2.7	"7.7e-07"
"GO:0071329"	"cellular response to sucrose stimulus"	32	13	2.7	"7.7e-07"
"GO:0060048"	"cardiac muscle contraction"	210	40	17.69	"8.0e-07"
"GO:0006814"	"sodium ion transport"	407	64	34.29	"8.0e-07"
"GO:0042445"	"hormone metabolic process"	531	78	44.73	"8.7e-07"
"GO:0009309"	"amine biosynthetic process"	109	26	9.18	"8.9e-07"
"GO:0032355"	"response to estradiol"	299	51	25.19	"9.3e-07"
"GO:0097435"	"supramolecular fiber organization"	1098	138	92.49	"9.4e-07"
"GO:0050819"	"negative regulation of coagulation"	59	18	4.97	"9.4e-07"
"GO:0001508"	"action potential"	259	46	21.82	"9.9e-07"
"GO:0019228"	"neuronal action potential"	90	23	7.58	"1.0e-06"
"GO:0006956"	"complement activation"	28	12	2.36	"1.0e-06"
"GO:0044255"	"cellular lipid metabolic process"	1849	212	155.76	"1.2e-06"
"GO:0099565"	"chemical synaptic transmission, postsyna..."	190	37	16.01	"1.2e-06"
"GO:0051146"	"striated muscle cell differentiation"	663	92	55.85	"1.2e-06"
"GO:0042574"	"retinal metabolic process"	38	14	3.2	"1.2e-06"
"GO:1990000"	"amyloid fibril formation"	38	14	3.2	"1.2e-06"
"GO:0045214"	"sarcomere organization"	168	34	14.15	"1.3e-06"
"GO:0044282"	"small molecule catabolic process"	873	114	73.54	"1.4e-06"
"GO:0072330"	"monocarboxylic acid biosynthetic process"	493	73	41.53	"1.4e-06"
"GO:0015849"	"organic acid transport"	595	84	50.12	"1.7e-06"
"GO:0046942"	"carboxylic acid transport"	595	84	50.12	"1.7e-06"
"GO:0006942"	"regulation of striated muscle contractio..."	163	33	13.73	"1.8e-06"
"GO:0060079"	"excitatory postsynaptic potential"	178	35	14.99	"1.8e-06"
"GO:0009617"	"response to bacterium"	916	118	77.16	"1.8e-06"
"GO:0046677"	"response to antibiotic"	878	114	73.96	"1.9e-06"
"GO:0022617"	"extracellular matrix disassembly"	127	28	10.7	"1.9e-06"
"GO:0006066"	"alcohol metabolic process"	690	94	58.12	"2.0e-06"
"GO:0010817"	"regulation of hormone levels"	996	126	83.9	"2.0e-06"
"GO:0044283"	"small molecule biosynthetic process"	1353	162	113.97	"2.1e-06"
"GO:0010035"	"response to inorganic substance"	1416	168	119.28	"2.3e-06"
"GO:1901700"	"response to oxygen-containing compound"	2931	312	246.9	"2.6e-06"
"GO:0048878"	"chemical homeostasis"	1624	188	136.8	"2.7e-06"
"GO:0036296"	"response to increased oxygen levels"	130	28	10.95	"3.0e-06"
"GO:0043270"	"positive regulation of monoatomic ion tr..."	423	64	35.63	"3.1e-06"
"GO:0001505"	"regulation of neurotransmitter levels"	811	106	68.32	"3.2e-06"
"GO:0006629"	"lipid metabolic process"	2340	256	197.12	"3.4e-06"
"GO:0050818"	"regulation of coagulation"	96	23	8.09	"3.4e-06"
"GO:0072376"	"protein activation cascade"	47	15	3.96	"4.0e-06"
"GO:0046903"	"secretion"	2505	271	211.02	"4.0e-06"
"GO:0006941"	"striated muscle contraction"	264	45	22.24	"4.1e-06"
"GO:0061061"	"muscle structure development"	1349	160	113.64	"4.2e-06"
"GO:0031032"	"actomyosin structure organization"	456	67	38.41	"5.0e-06"
"GO:1903036"	"positive regulation of response to wound..."	171	33	14.4	"5.4e-06"
"GO:0031960"	"response to corticosteroid"	431	64	36.31	"5.8e-06"
"GO:0007611"	"learning or memory"	794	103	66.89	"6.1e-06"
"GO:0001504"	"neurotransmitter uptake"	86	21	7.24	"6.6e-06"
"GO:0098869"	"cellular oxidant detoxification"	196	36	16.51	"6.6e-06"
"GO:0051969"	"regulation of transmission of nerve impu..."	61	17	5.14	"7.4e-06"
"GO:0140352"	"export from cell"	2333	253	196.53	"7.6e-06"
"GO:0010959"	"regulation of metal ion transport"	498	71	41.95	"7.7e-06"
"GO:0060047"	"heart contraction"	373	57	31.42	"7.7e-06"
"GO:0006813"	"potassium ion transport"	296	48	24.93	"8.0e-06"
"GO:0009611"	"response to wounding"	1133	137	95.44	"8.1e-06"
"GO:0060279"	"positive regulation of ovulation"	28	11	2.36	"8.2e-06"
"GO:2000241"	"regulation of reproductive process"	667	89	56.19	"8.8e-06"
"GO:0006631"	"fatty acid metabolic process"	820	105	69.08	"8.8e-06"
"GO:0030198"	"extracellular matrix organization"	446	65	37.57	"9.1e-06"
"GO:0003015"	"heart process"	393	59	33.11	"9.4e-06"
"GO:0050893"	"sensory processing"	62	17	5.22	"9.4e-06"
"GO:1990748"	"cellular detoxification"	199	36	16.76	"9.5e-06"
"GO:0006865"	"amino acid transport"	274	45	23.08	"1.1e-05"
"GO:0006836"	"neurotransmitter transport"	615	83	51.81	"1.1e-05"
"GO:0071805"	"potassium ion transmembrane transport"	250	42	21.06	"1.2e-05"
"GO:0007606"	"sensory perception of chemical stimulus"	242	41	20.39	"1.2e-05"
"GO:0042060"	"wound healing"	818	104	68.91	"1.3e-05"
"GO:0001101"	"response to acid chemical"	703	92	59.22	"1.4e-05"
"GO:0009713"	"catechol-containing compound biosyntheti..."	64	17	5.39	"1.5e-05"
"GO:0042423"	"catecholamine biosynthetic process"	64	17	5.39	"1.5e-05"
"GO:0060278"	"regulation of ovulation"	35	12	2.95	"1.6e-05"
"GO:0008045"	"motor neuron axon guidance"	245	41	20.64	"1.7e-05"
"GO:0006952"	"defense response"	1850	205	155.84	"1.7e-05"
"GO:1902656"	"calcium ion import into cytosol"	30	11	2.53	"1.8e-05"
"GO:0055093"	"response to hyperoxia"	120	25	10.11	"1.9e-05"
"GO:1903825"	"organic acid transmembrane transport"	367	55	30.92	"2.0e-05"
"GO:1905039"	"carboxylic acid transmembrane transport"	367	55	30.92	"2.0e-05"
"GO:0033555"	"multicellular organismal response to str..."	151	29	12.72	"2.1e-05"
"GO:0014046"	"dopamine secretion"	36	12	3.03	"2.3e-05"
"GO:0014059"	"regulation of dopamine secretion"	36	12	3.03	"2.3e-05"
"GO:1902903"	"regulation of supramolecular fiber organ..."	570	77	48.02	"2.3e-05"
"GO:0098657"	"import into cell"	1280	149	107.83	"2.4e-05"
"GO:1905906"	"regulation of amyloid fibril formation"	31	11	2.61	"2.5e-05"
"GO:0009628"	"response to abiotic stimulus"	2653	279	223.48	"2.6e-05"
"GO:0042692"	"muscle cell differentiation"	833	104	70.17	"2.8e-05"
"GO:0006584"	"catecholamine metabolic process"	123	25	10.36	"2.9e-05"
"GO:0009712"	"catechol-containing compound metabolic p..."	123	25	10.36	"2.9e-05"
"GO:0006810"	"transport"	7068	670	595.4	"2.9e-05"
"GO:0060402"	"calcium ion transport into cytosol"	226	38	19.04	"3.0e-05"
"GO:0097553"	"calcium ion transmembrane import into cy..."	226	38	19.04	"3.0e-05"
"GO:0061045"	"negative regulation of wound healing"	74	18	6.23	"3.1e-05"
"GO:0098754"	"detoxification"	277	44	23.33	"3.2e-05"
"GO:0007626"	"locomotory behavior"	826	103	69.58	"3.3e-05"
"GO:0009607"	"response to biotic stimulus"	1880	206	158.37	"3.3e-05"
"GO:0006805"	"xenobiotic metabolic process"	286	45	24.09	"3.3e-05"
"GO:0006766"	"vitamin metabolic process"	312	48	26.28	"3.3e-05"
"GO:0051050"	"positive regulation of transport"	1525	172	128.46	"3.4e-05"
"GO:0030048"	"actin filament-based movement"	211	36	17.77	"3.5e-05"
"GO:0001666"	"response to hypoxia"	682	88	57.45	"3.5e-05"
"GO:0019751"	"polyol metabolic process"	236	39	19.88	"3.6e-05"
"GO:0007584"	"response to nutrient"	568	76	47.85	"3.6e-05"
"GO:0006775"	"fat-soluble vitamin metabolic process"	96	21	8.09	"4.0e-05"
"GO:0099177"	"regulation of trans-synaptic signaling"	791	99	66.63	"4.0e-05"
"GO:0006835"	"dicarboxylic acid transport"	188	33	15.84	"4.1e-05"
"GO:0016054"	"organic acid catabolic process"	619	81	52.14	"4.4e-05"
"GO:0046395"	"carboxylic acid catabolic process"	619	81	52.14	"4.4e-05"
"GO:0032757"	"positive regulation of interleukin-8 pro..."	44	13	3.71	"4.4e-05"
"GO:0044070"	"regulation of monoatomic anion transport"	149	28	12.55	"4.4e-05"
"GO:0045471"	"response to ethanol"	516	70	43.47	"4.7e-05"
"GO:0019430"	"removal of superoxide radicals"	63	16	5.31	"4.8e-05"
"GO:0042572"	"retinol metabolic process"	63	16	5.31	"4.8e-05"
"GO:0009725"	"response to hormone"	1872	204	157.69	"5.0e-05"
"GO:0034765"	"regulation of monoatomic ion transmembra..."	499	68	42.04	"5.2e-05"
"GO:0050804"	"modulation of chemical synaptic transmis..."	787	98	66.3	"5.3e-05"
"GO:0007600"	"sensory perception"	926	112	78	"5.5e-05"
"GO:0007267"	"cell-cell signaling"	2507	263	211.19	"5.5e-05"
"GO:1905905"	"pharyngeal gland morphogenesis"	39	12	3.29	"5.6e-05"
"GO:0036293"	"response to decreased oxygen levels"	701	89	59.05	"5.8e-05"
"GO:0097305"	"response to alcohol"	779	97	65.62	"5.8e-05"
"GO:0032940"	"secretion by cell"	2261	240	190.46	"5.8e-05"
"GO:0097164"	"ammonium ion metabolic process"	373	54	31.42	"6.1e-05"
"GO:0051707"	"response to other organism"	1816	198	152.98	"6.3e-05"
"GO:0032101"	"regulation of response to external stimu..."	1315	150	110.77	"6.4e-05"
"GO:0051384"	"response to glucocorticoid"	401	57	33.78	"6.4e-05"
"GO:0007271"	"synaptic transmission, cholinergic"	168	30	14.15	"6.5e-05"
"GO:0043207"	"response to external biotic stimulus"	1817	198	153.06	"6.5e-05"
"GO:0007517"	"muscle organ development"	763	95	64.27	"6.9e-05"
"GO:0007613"	"memory"	439	61	36.98	"7.1e-05"
"GO:0030728"	"ovulation"	107	22	9.01	"7.1e-05"
"GO:0043090"	"amino acid import"	46	13	3.87	"7.4e-05"
"GO:0070588"	"calcium ion transmembrane transport"	449	62	37.82	"7.4e-05"
"GO:0009719"	"response to endogenous stimulus"	2879	296	242.52	"7.8e-05"
"GO:0030041"	"actin filament polymerization"	253	40	21.31	"7.9e-05"
"GO:0008037"	"cell recognition"	478	65	40.27	"8.0e-05"
"GO:0016540"	"protein autoprocessing"	59	15	4.97	"8.1e-05"
"GO:0070509"	"calcium ion import"	123	24	10.36	"8.2e-05"
"GO:0010927"	"cellular component assembly involved in ..."	414	58	34.87	"8.4e-05"
"GO:0055117"	"regulation of cardiac muscle contraction"	131	25	11.04	"8.6e-05"
"GO:0055010"	"ventricular cardiac muscle tissue morpho..."	66	16	5.56	"8.8e-05"
"GO:0048646"	"anatomical structure formation involved ..."	2287	241	192.65	"9.0e-05"
"GO:0050881"	"musculoskeletal movement"	94	20	7.92	"9.0e-05"
"GO:1901617"	"organic hydroxy compound biosynthetic pr..."	480	65	40.43	"9.0e-05"
"GO:0050905"	"neuromuscular process"	316	47	26.62	"9.3e-05"
"GO:0007218"	"neuropeptide signaling pathway"	87	19	7.33	"9.3e-05"
"GO:0001676"	"long-chain fatty acid metabolic process"	247	39	20.81	"9.9e-05"
"GO:0006690"	"icosanoid metabolic process"	247	39	20.81	"9.9e-05"
"GO:0003333"	"amino acid transmembrane transport"	180	31	15.16	"0.00010"
"GO:0070252"	"actin-mediated cell contraction"	180	31	15.16	"0.00010"
"GO:0097237"	"cellular response to toxic substance"	463	63	39	"0.00010"
"GO:0071450"	"cellular response to oxygen radical"	67	16	5.64	"0.00011"
"GO:0071451"	"cellular response to superoxide"	67	16	5.64	"0.00011"
"GO:0014047"	"glutamate secretion"	81	18	6.82	"0.00011"
"GO:0042136"	"neurotransmitter biosynthetic process"	141	26	11.88	"0.00011"
"GO:0031099"	"regeneration"	512	68	43.13	"0.00011"
"GO:0015800"	"acidic amino acid transport"	118	23	9.94	"0.00012"
"GO:0032271"	"regulation of protein polymerization"	319	47	26.87	"0.00012"
"GO:0008217"	"regulation of blood pressure"	232	37	19.54	"0.00012"
"GO:0015872"	"dopamine transport"	61	15	5.14	"0.00012"
"GO:0014706"	"striated muscle tissue development"	610	78	51.39	"0.00013"
"GO:0019098"	"reproductive behavior"	610	78	51.39	"0.00013"
"GO:0090303"	"positive regulation of wound healing"	82	18	6.91	"0.00013"
"GO:0051924"	"regulation of calcium ion transport"	303	45	25.52	"0.00013"
"GO:0008038"	"neuron recognition"	367	52	30.92	"0.00014"
"GO:0006081"	"cellular aldehyde metabolic process"	159	28	13.39	"0.00014"
"GO:0043200"	"response to amino acid"	269	41	22.66	"0.00015"
"GO:0006706"	"steroid catabolic process"	128	24	10.78	"0.00016"
"GO:0002933"	"lipid hydroxylation"	37	11	3.12	"0.00016"
"GO:0006979"	"response to oxidative stress"	1104	127	93	"0.00016"
"GO:0032677"	"regulation of interleukin-8 production"	56	14	4.72	"0.00017"
"GO:0003073"	"regulation of systemic arterial blood pr..."	137	25	11.54	"0.00018"
"GO:0001525"	"angiogenesis"	626	79	52.73	"0.00018"
"GO:0030833"	"regulation of actin filament polymerizat..."	238	37	20.05	"0.00020"
"GO:1901568"	"fatty acid derivative metabolic process"	363	51	30.58	"0.00020"
"GO:0060012"	"synaptic transmission, glycinergic"	38	11	3.2	"0.00021"
"GO:0032103"	"positive regulation of response to exter..."	727	89	61.24	"0.00021"
"GO:0045229"	"external encapsulating structure organiz..."	571	73	48.1	"0.00021"
"GO:0000302"	"response to reactive oxygen species"	523	68	44.06	"0.00021"
"GO:0010631"	"epithelial cell migration"	679	84	57.2	"0.00022"
"GO:0043062"	"extracellular structure organization"	543	70	45.74	"0.00022"
"GO:0048644"	"muscle organ morphogenesis"	147	26	12.38	"0.00023"
"GO:0007417"	"central nervous system development"	1945	206	163.84	"0.00024"
"GO:2001023"	"regulation of response to drug"	206	33	17.35	"0.00025"
"GO:0009110"	"vitamin biosynthetic process"	101	20	8.51	"0.00025"
"GO:0032637"	"interleukin-8 production"	65	15	5.48	"0.00026"
"GO:0051047"	"positive regulation of secretion"	614	77	51.72	"0.00026"
"GO:0033058"	"directional locomotion"	39	11	3.29	"0.00027"
"GO:0010243"	"response to organonitrogen compound"	1939	205	163.34	"0.00027"
"GO:0032501"	"multicellular organismal process"	11102	999	935.22	"0.00028"
"GO:0090132"	"epithelium migration"	684	84	57.62	"0.00028"
"GO:0060537"	"muscle tissue development"	635	79	53.49	"0.00028"
"GO:0050878"	"regulation of body fluid levels"	558	71	47.01	"0.00030"
"GO:0034762"	"regulation of transmembrane transport"	646	80	54.42	"0.00030"
"GO:0002752"	"cell surface pattern recognition recepto..."	59	14	4.97	"0.00031"
"GO:0044242"	"cellular lipid catabolic process"	501	65	42.2	"0.00031"
"GO:0030032"	"lamellipodium assembly"	126	23	10.61	"0.00032"
"GO:0006575"	"cellular modified amino acid metabolic p..."	398	54	33.53	"0.00033"
"GO:0046189"	"phenol-containing compound biosynthetic ..."	88	18	7.41	"0.00033"
"GO:0006576"	"biogenic amine metabolic process"	244	37	20.55	"0.00034"
"GO:2000243"	"positive regulation of reproductive proc..."	280	41	23.59	"0.00035"
"GO:0021675"	"nerve development"	135	24	11.37	"0.00036"
"GO:0086065"	"cell communication involved in cardiac c..."	67	15	5.64	"0.00037"
"GO:0009308"	"amine metabolic process"	290	42	24.43	"0.00038"
"GO:0051046"	"regulation of secretion"	1117	126	94.09	"0.00039"
"GO:0006940"	"regulation of smooth muscle contraction"	112	21	9.43	"0.00039"
"GO:0042368"	"vitamin D biosynthetic process"	47	12	3.96	"0.00040"
"GO:0009991"	"response to extracellular stimulus"	1295	143	109.09	"0.00041"
"GO:1904062"	"regulation of monoatomic cation transmem..."	430	57	36.22	"0.00041"
"GO:0050906"	"detection of stimulus involved in sensor..."	161	27	13.56	"0.00042"
"GO:0036378"	"calcitriol biosynthetic process from cal..."	41	11	3.45	"0.00043"
"GO:0044245"	"polysaccharide digestion"	41	11	3.45	"0.00043"
"GO:1901701"	"cellular response to oxygen-containing c..."	1881	198	158.45	"0.00044"
"GO:0006855"	"xenobiotic transmembrane transport"	292	42	24.6	"0.00044"
"GO:0042359"	"vitamin D metabolic process"	61	14	5.14	"0.00044"
"GO:0016999"	"antibiotic metabolic process"	275	40	23.17	"0.00047"
"GO:0008209"	"androgen metabolic process"	98	19	8.26	"0.00047"
"GO:0097581"	"lamellipodium organization"	146	25	12.3	"0.00049"
"GO:0003229"	"ventricular cardiac muscle tissue develo..."	76	16	6.4	"0.00050"
"GO:0034308"	"primary alcohol metabolic process"	130	23	10.95	"0.00051"
"GO:0051954"	"positive regulation of amine transport"	91	18	7.67	"0.00051"
"GO:1902904"	"negative regulation of supramolecular fi..."	223	34	18.79	"0.00052"
"GO:0070640"	"vitamin D3 metabolic process"	42	11	3.54	"0.00054"
"GO:0009744"	"response to sucrose"	84	17	7.08	"0.00055"
"GO:0019932"	"second-messenger-mediated signaling"	541	68	45.57	"0.00056"
"GO:0042246"	"tissue regeneration"	139	24	11.71	"0.00056"
"GO:0046662"	"regulation of egg-laying behavior"	139	24	11.71	"0.00056"
"GO:0090130"	"tissue migration"	699	84	58.88	"0.00056"
"GO:0033559"	"unsaturated fatty acid metabolic process"	233	35	19.63	"0.00057"
"GO:0010038"	"response to metal ion"	881	102	74.21	"0.00057"
"GO:0002209"	"behavioral defense response"	70	15	5.9	"0.00061"
"GO:0051234"	"establishment of localization"	7320	677	616.63	"0.00061"
"GO:0035666"	"TRIF-dependent toll-like receptor signal..."	56	13	4.72	"0.00062"
"GO:0005978"	"glycogen biosynthetic process"	63	14	5.31	"0.00062"
"GO:0009250"	"glucan biosynthetic process"	63	14	5.31	"0.00062"
"GO:0046456"	"icosanoid biosynthetic process"	108	20	9.1	"0.00063"
"GO:0034285"	"response to disaccharide"	85	17	7.16	"0.00064"
"GO:0051495"	"positive regulation of cytoskeleton orga..."	344	47	28.98	"0.00066"
"GO:0043312"	"neutrophil degranulation"	804	94	67.73	"0.00068"
"GO:1901605"	"alpha-amino acid metabolic process"	497	63	41.87	"0.00070"
"GO:1903115"	"regulation of actin filament-based movem..."	71	15	5.98	"0.00071"
"GO:1902475"	"L-alpha-amino acid transmembrane transpo..."	125	22	10.53	"0.00072"
"GO:0031644"	"regulation of nervous system process"	227	34	19.12	"0.00072"
"GO:0060384"	"innervation"	50	12	4.21	"0.00073"
"GO:0051049"	"regulation of transport"	2554	258	215.15	"0.00073"
"GO:0010810"	"regulation of cell-substrate adhesion"	263	38	22.15	"0.00073"
"GO:0015807"	"L-amino acid transport"	150	25	12.64	"0.00074"
"GO:0048514"	"blood vessel morphogenesis"	786	92	66.21	"0.00075"
"GO:0009410"	"response to xenobiotic stimulus"	837	97	70.51	"0.00075"
"GO:0002283"	"neutrophil activation involved in immune..."	817	95	68.82	"0.00076"
"GO:0042908"	"xenobiotic transport"	300	42	25.27	"0.00077"
"GO:0055008"	"cardiac muscle tissue morphogenesis"	94	18	7.92	"0.00077"
"GO:0008154"	"actin polymerization or depolymerization"	291	41	24.51	"0.00077"
"GO:0042119"	"neutrophil activation"	818	95	68.91	"0.00079"
"GO:0060415"	"muscle tissue morphogenesis"	118	21	9.94	"0.00081"
"GO:0009595"	"detection of biotic stimulus"	44	11	3.71	"0.00083"
"GO:0061383"	"trabecula morphogenesis"	44	11	3.71	"0.00083"
"GO:1901606"	"alpha-amino acid catabolic process"	220	33	18.53	"0.00083"
"GO:0016485"	"protein processing"	433	56	36.48	"0.00084"
"GO:0070887"	"cellular response to chemical stimulus"	4182	403	352.29	"0.00085"
"GO:0036230"	"granulocyte activation"	830	96	69.92	"0.00085"
"GO:0021884"	"forebrain neuron development"	65	14	5.48	"0.00087"
"GO:0042596"	"fear response"	65	14	5.48	"0.00087"
"GO:0001568"	"blood vessel development"	923	105	77.75	"0.00088"
"GO:0042335"	"cuticle development"	293	41	24.68	"0.00089"
"GO:0007586"	"digestion"	330	45	27.8	"0.00089"
"GO:0071702"	"organic substance transport"	4287	412	361.13	"0.00089"
